:ID,name,:LABEL
-760795198447686328,AutoML问题构成?,question
-2103435428496205022,特征选择,answer
4041928090793981474,模型选择,answer
7658352582883739683,算法选择,answer
-2075868268917888440,特征工程选择思路？,question
913846038743650802,有监督的特征选择,answer
-763630344506983242,基于模型，lr的系数，树模型的importance等等,answer
7860774281964427877,基于选择，前项后项选择,answer
-3771065287648917614,无监督的特征选择,answer
-7191526152840636190,基于统计信息的，熵、相关性、KL系数,answer
6418982922889454147,基于方差，因子分解，PCA主成分分享，方差系数,answer
4901152847416684831,模型相关的选择思路?,question
4963933650214818288,各自模型的优劣势，线性非线性，低阶特征/高阶特征交互，场景选择,answer
-9067626527982856525,参数选择,answer
-577076147715421701,grid_search,answer
2773173942682946348,random_search,answer
1245082203728238683,...,answer
-6920708857250016975,常见优化算法思路？,question
8640362550470026186,SGD,answer
-4057685107823617437,GD,answer
-789812526419960589,LBFGS,answer
3975766294592884533,FTRL,answer
4631031604782500179,AutoML参数选择所使用的方法？,question
-2139967496852381041,暴力搜索,answer
5898354269198050453,拟合搜索,answer
-8248763977408450079,贝叶斯优化,answer
6940232707766487251,其他方法,answer
-5067127709965480728,Meta学习,answer
-6926725997540355936,转移学习,answer
-4885738194256334899,讲讲贝叶斯优化如何在automl上应用？,question
-4792242359058403464,目的：通过拟合参数和模型能力之间的关系：模型能力=f(超参数)，找到最合适的超参数,answer
-8542547077723901709,步骤：,answer
-3271280540798858277,随机选取几个超参数进行f拟合，得到先验数据集合D,answer
3709391548306387043,根据先验数据D得到模型M,answer
-4121662003414715997,根据模型M得到预测出一些较优超参数，并把该超参数对于的f结果加入原始数据集合D,answer
8759183425868713579,循环23两步直至达到条件,answer
2527977387435122326,问题：,answer
19230187226653455,稳定性：同一组超参数的预测结果在不同轮次不一致,answer
523414173424813563,f函数需要多次计算，资源耗费时间损失,answer
-7757263892166995469,难以确定比较通用的拟合模型f,answer
2445049760795710498,手记：,answer
2345562186161423224,![](https://tva1.sinaimg.cn/large/006tNbRwgy1g9n45r6f3nj30q40tkjz8.jpg),answer
3878977373958787710,以高斯过程为例，超参搜索的f的最优解求解acquisition function有哪些？,question
-7060626487502033747,随机生成若干超参点，更新gp模型,answer
-2589081292951083084,根据gp模型选取最优推荐值,answer
-1382548492277825421,推荐值附近随机生成点，根据cquisitionfunction选取附近点极值点，acquisitionfunction通常：,answer
-6756416680312170743,基于GPUCB的最大置信上界,answer
6371517177325308206,基于均值和方差的平衡结果,answer
7830901375912220150,ThompsonSampling,answer
4403946144715351439,EI(期望提升),answer
-1642043111504719937,重复以上步骤,answer
-8161701324740748635,写出全概率公式&贝叶斯公式,question
-5316532734163977495,全概率公式：设事件![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wed60nzaj305i01cmx2.jpg)构成一个完备事件组，即它们两两不相容，和为全集且![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wedhjqtej304w01cjra.jpg)，则对任一事件A有：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8weetxaqxj30dk01e74b.jpg),answer
2550358841723109107,贝叶斯公式：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g8wefkh3r5j30l203iq3c.jpg),answer
-893511198770585034,说说你怎么理解为什么有全概率公式&贝叶斯公式,question
-5013530208652397274,全概率公式为全概率就是表示达到某个目的，有多种方式，算到达目的的概率。**key：算概率**,answer
2017368835292621579,贝叶斯公式为当给定条件发生变化后，会导致事件发生的可能性发生何种变化。**key：概率变化**,answer
-3211970729549838174,什么是先验概率,question
1768280824663429715,先验概率（priorprobability）：指根据以往经验和分析。在实验或采样前就可以得到的概率。key:简单的暴力统计,answer
-2325716000997563512,什么是后验概率,question
-4857441579708849800,后验概率（posteriorprobability）：指某件事已经发生，想要计算这件事发生的原因是由某个因素引起的概率。key：条件概率,answer
5124875688811623836,经典概率题,question
-7843950277069824291,有一个木桶，里面有M个白球，小明每分钟从桶中随机取出一个球涂成红色（无论白或红都涂红）再放回，问小明将桶中球全部涂红的期望时间是多少？,answer
-1921336595448745491,P[i]代表M个球中已经有i个球是红色后，还需要的时间期望，去将所有球都变成红色。,answer
22540938199230777,P[i]=(i/M)*P[i]+(1i/M)*P[i+1]+1,answer
-3363636048235361005,解释一下，每一次抽取，(i/M)概率不变，(1i/M)进入下一轮，额外加一次本次操作,answer
5018345540594936677,解释方差：,question
2122935172097327069,期望值与真实值之间的波动程度，衡量的是**稳定性**,answer
1631215494348242441,解释偏差：,question
-2850337277066073733,期望值与真实值之间的一致差距，衡量的是**准确性**,answer
-6630719895861107233,模型训练为什么要引入偏差和方差？请理论论证。,question
-6507403449420574758,优化监督学习=优化模型的泛化误差，模型的泛化误差可分解为偏差、方差与噪声之和,answer
-2214716850207361842,**Err=bias+var+irreducibleerror**,answer
9065648270968707104,"以回归任务为例,其实更准确的公式为：**Err=bias^2+var+irreducibleerror^2**",answer
-733014017357138578,符号的定义：一个真实的任务可以理解为Y=f(x)+e，其中f(x)为规律部分，e为噪声部分,answer
